"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"March","ESP","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",205,258
"August","FRA","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",385,57
"November","FRA","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",314,127
"April","FRA","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",367,63
"August","ESP","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",237,182
"May","DEU","Great Britain becomes again the country with most Resort Hotel Bookings.",246,148
"April","DEU","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",211,171
"September","DEU","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",353,28
"July","GBR","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",191,176
"April","GBR","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",124,234
"December","FRA","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",247,97
"August","GBR","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",193,145
"August","DEU","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",314,21
"June","DEU","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",299,34
"June","FRA","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",303,27
"March","GBR","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",111,218
"December","ESP","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",158,152
"July","FRA","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",283,25
"September","FRA","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",277,27
"November","GBR","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",136,160
"February","FRA","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",242,47
"March","FRA","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",249,27
"February","ESP","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",92,178
"July","DEU","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",241,20
"March","DEU","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",199,52
"July","ESP","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",108,106
"February","GBR","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",66,142
"October","ESP","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",121,80
"September","ITA","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",182,11
"May","IRL","Great Britain becomes again the country with most Resort Hotel Bookings.",41,142
"November","ESP","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",112,70
"September","ESP","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",116,63
"December","GBR","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",45,133
"April","ESP","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",68,108
"November","DEU","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",115,49
"September","IRL","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",37,118
"May","AUT","Great Britain becomes again the country with most Resort Hotel Bookings.",138,11
"August","ITA","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",118,30
"January","ESP","Torusim decreases from previous year showing that people still has fear to travel.",62,81
"October","IRL","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",35,98
"December","BRA","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",122,10
"June","ESP","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",89,43
"January","FRA","Torusim decreases from previous year showing that people still has fear to travel.",105,26
"May","ESP","Great Britain becomes again the country with most Resort Hotel Bookings.",74,54
"June","IRL","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",26,97
"April","IRL","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",26,96
"April","ITA","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",111,7
"July","BEL","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",105,12
"August","BEL","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",111,3
"December","ITA","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",102,11
"February","DEU","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",89,23
"January","GBR","Torusim decreases from previous year showing that people still has fear to travel.",40,69
"September","BEL","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",88,21
"July","IRL","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",44,62
"November","ITA","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",88,17
"October","BEL","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",80,25
"April","NLD","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",67,33
"August","NLD","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",89,11
"May","ITA","Great Britain becomes again the country with most Resort Hotel Bookings.",88,11
"September","USA","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",75,23
"November","NLD","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",67,30
"March","ITA","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",81,15
"June","USA","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",71,24
"October","CHE","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",82,10
"October","USA","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",68,22
"July","USA","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",57,32
"October","ITA","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",77,12
"September","CN","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",22,67
"April","BEL","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",61,25
"December","DEU","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",72,12
"July","NLD","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",69,15
"October","SWE","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",44,39
"June","NLD","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",71,11
"August","IRL","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",29,52
"January","ITA","Torusim decreases from previous year showing that people still has fear to travel.",67,14
"March","BEL","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",64,17
"November","IRL","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",31,50
"May","NLD","Great Britain becomes again the country with most Resort Hotel Bookings.",59,21
"October","NLD","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",58,22
"July","CHE","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",55,22
"November","BEL","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",58,18
"January","DEU","Torusim decreases from previous year showing that people still has fear to travel.",60,15
"July","ITA","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",61,14
"July","CN","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",32,42
"April","CHE","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",65,8
"September","NLD","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",57,16
"September","BRA","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",63,7
"May","BEL","Great Britain becomes again the country with most Resort Hotel Bookings.",57,12
"September","CHE","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",45,24
"February","NLD","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",44,24
"October","BRA","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",52,16
"June","SRB","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",65,0
"March","IRL","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",34,31
"April","AUT","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",62,2
"May","CHE","Great Britain becomes again the country with most Resort Hotel Bookings.",47,17
"March","NLD","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",41,22
"November","POL","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",36,27
"October","CN","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",22,40
"April","USA","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",45,16
"June","CHE","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",48,13
"March","USA","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",59,2
"May","USA","Great Britain becomes again the country with most Resort Hotel Bookings.",46,15
"August","USA","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",40,20
"June","BEL","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",50,10
"November","BRA","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",49,11
"February","ITA","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",56,2
"June","ITA","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",51,7
"January","BRA","Torusim decreases from previous year showing that people still has fear to travel.",45,11
"June","POL","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",16,39
"November","CHE","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",45,10
"July","AUT","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",51,3
"July","NOR","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",37,17
"December","IRL","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",19,33
"May","BRA","Great Britain becomes again the country with most Resort Hotel Bookings.",38,14
"March","CHE","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",48,3
