"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"August","DEU","France and Italy surpass Great Britain in ammount of bookings and we can notice that, unlike in July, most foreign countries are booking City Hotel.",67,2
"September","CN","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",34,34
"September","SWE","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",54,12
"October","NLD","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",38,20
"December","ITA","The ammount of bookings from Spain slightly increases with almost no difference in ammount between City and Resort Hotel<br><br>Even with the devastating hit that the terrorist attack brought to turism, Portugal passes the 10 million foreign visitors per year mark.",45,12
"September","USA","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",47,10
"September","BEL","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",37,17
"December","DEU","The ammount of bookings from Spain slightly increases with almost no difference in ammount between City and Resort Hotel<br><br>Even with the devastating hit that the terrorist attack brought to turism, Portugal passes the 10 million foreign visitors per year mark.",29,24
"September","NLD","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",29,24
"October","BEL","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",27,24
"October","USA","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",42,9
